Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.09,0.06,0.72,0.27,12.5,0.05,100.0,0.0,0.14,3.44,1.4,4.71,68.53,0.86,Victor Nelsson,victor-nelsson,,Galatasaray
0.09,0.2,1.95,0.71,4.55,1.42,51.61,0.27,1.42,3.73,2.4,0.89,32.46,0.62,Julien Ngoy,julien-ngoy,,Kasımpaşa
0.09,0.05,1.06,0.44,8.33,0.26,75.0,0.18,1.68,6.45,2.12,2.12,58.54,0.79,Faouzi Ghoulam,faouzi-ghoulam,,Hatayspor
0.09,0.06,1.23,0.26,7.14,1.01,48.94,0.22,1.18,7.28,3.55,0.75,47.57,1.1,Erdoğan Yeşilyurt,erdogan-yesilyurt,,Antalyaspor
0.09,0.1,1.97,0.57,4.44,0.57,61.9,0.18,1.62,12.31,2.19,0.7,56.41,0.48,Jonjo Shelvey,jonjo-shelvey,,Çaykur Rizespor
0.09,0.11,1.47,0.3,5.88,1.12,43.33,0.3,1.47,10.47,3.23,0.39,43.52,0.86,Alassane Ndao,ndao-alassane,,Konyaspor
0.09,0.23,1.37,0.56,6.25,1.29,52.63,0.43,2.53,12.02,3.74,0.47,43.56,1.29,Alexandru Maxim,alexandru-maxim,,Gaziantep FK
0.08,0.04,0.93,0.13,9.09,0.51,75.0,0.0,0.29,4.68,2.44,1.14,52.8,0.72,Andreaw Gravillon,andreaw-gravillon,,Adana Demirspor
0.08,0.05,0.46,0.08,18.18,0.17,57.14,0.0,0.5,3.66,2.94,1.85,60.0,0.8,Uğurcan Yazğılı,ugurcan-yazgili,,Konyaspor
0.08,0.18,1.68,0.34,5.0,0.5,60.0,0.08,1.09,7.54,1.93,1.17,41.57,0.59,Danijel Aleksić,danijel-aleksic,,Başakşehir FK
